Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2024-07-17,843.0239868164062,846.679849553754,839.4079482918836,844.7473112260486,1783100
2024-07-18,836.1405639648438,852.0092668460136,821.9354188239228,846.1618562210117,2338500
2024-07-19,834.9053955078125,845.6140361118008,832.3452759929589,833.2916331366333,1984400
2024-07-22,844.15966796875,846.3213630116987,835.3735942338286,842.4961100548692,1920200
2024-07-23,848.8316040039062,851.2921326192126,842.3267589381575,845.6339929698754,1744100
2024-07-24,827.6235961914062,842.7451869303575,826.3086673271058,841.3505488257048,2511300
2024-07-25,812.8107299804688,833.4311010582163,811.1471721546804,832.5743636099073,2183700
2024-07-26,815.6138305664062,820.2825153125117,807.0447318184291,816.0128832259171,1441500
2024-07-29,813.5787963867188,821.7389177947531,812.1123966136153,820.5617916191424,1320400
2024-07-30,808.062255859375,820.0031483931169,801.328653363446,816.0128654325665,2017200
2024-07-31,820.003173828125,823.4747006276808,809.2992589382359,818.4269949614893,2135000
2024-08-01,814.9055786132812,822.1678619589228,807.7130716391686,816.5615192559256,1861400
2024-08-02,820.0830078125,828.2730249880572,803.0544672096248,814.2172867269551,2598500
2024-08-05,799.8822021484375,808.8503537924275,791.073635040328,796.0614889813136,2820900
2024-08-06,814.8956298828125,831.0662742698262,803.1043358664159,803.1043358664159,2476300
2024-08-07,808.3316040039062,831.8044740647922,807.2941522951122,822.1080542643008,1702000
2024-08-08,837.390869140625,840.7127970315128,818.4569943926716,819.5044315800641,2345000
2024-08-09,852.8531494140625,855.6862771190881,835.5951877090582,836.4630693859497,1710600
2024-08-12,861.4722290039062,868.1359946874387,850.3293801393843,855.1675741979969,1748200
2024-08-13,862.7191772460938,865.9413114114939,854.0801801147264,862.818909970261,1484100
2024-08-14,860.6143188476562,864.6245120235751,856.4145238991214,862.7690449655463,1341500
2024-08-15,875.2186889648438,878.1914912566176,866.888997406658,870.7495914079323,1923800
2024-08-16,868.4751586914062,875.2186859147134,866.5099126240802,875.2186859147134,1516300
2024-08-19,870.2308349609375,871.5077547694648,866.589738190494,868.475161554544,1318400
2024-08-20,874.071533203125,874.6301704067438,869.0537229334108,869.8817237325401,1104600
2024-08-21,879.27880859375,888.9552572131508,875.0889991940531,878.6004677784676,1465500
2024-08-22,875.42822265625,881.8525809985476,871.0588577120255,880.1566984730956,1440900
2024-08-23,877.07421875,882.4111980155908,869.5524961753996,880.346219214937,1305800
2024-08-26,890.3419189453125,891.0801115908463,879.2988029511604,881.0245809406861,1737000
2024-08-27,906.6920776367188,916.6976805826652,884.9150911493485,890.5214338847841,2098900
2024-08-28,885.8927001953125,910.0039683877341,879.5182084335812,908.7470803766023,1668400
2024-08-29,884.4761962890625,898.2726173924228,883.019721013286,888.8355757796795,1709900
2024-08-30,890.2122192382812,894.1526360042321,880.9547331563825,888.3367812973257,1933500
2024-09-03,876.435791015625,894.7112955021882,872.3158187126888,894.5017837134849,1784200
2024-09-04,887.8579711914062,889.593734618614,874.4606028305074,875.3184990943406,1425200
2024-09-05,883.8277587890625,886.471345766477,866.5897670089089,886.471345766477,1998800
2024-09-06,874.5503540039062,891.0302429598634,868.8841592157914,889.0949531892803,2074600
2024-09-09,894.312255859375,896.6465983714857,879.5582053313971,882.5907987089159,1954000
2024-09-10,892.1176147460938,898.5020925495737,885.3641014854536,890.4317175718146,1360800
2024-09-11,898.2127685546875,899.8088574726104,875.7374693080737,892.8258619046411,1796100
2024-09-12,912.8072509765625,913.4756063734787,894.3322200211928,898.2326951129166,1868700
2024-09-13,913.7748413085938,921.5858376226937,907.1509566670405,911.4106034132769,1327500
2024-09-16,905.6646118164062,920.3887668019069,903.1507138763772,919.7602923168995,1661000
2024-09-17,895.0903930664062,906.3928266679584,893.2748068596256,906.223256676145,1387000
2024-09-18,890.3519287109375,902.7816221739396,888.7857352154206,897.753887154995,1338200
2024-09-19,898.5518798828125,902.9312301479653,893.3246188233362,902.0633484545652,1747500
2024-09-20,904.7767333984375,905.6047342004239,893.5241665761782,899.3799022280818,4658200
2024-09-23,914.8522338867188,917.2663381416011,898.5918422449469,904.7767324114313,1697600
2024-09-24,899.3499145507812,910.5526755076929,895.3497069770792,909.7945119936709,2432600
2024-09-25,906.2132568359375,908.14854663996,898.9409875610387,900.8064401020374,1728100
2024-09-26,899.2501831054688,907.0312228108855,895.9482263445278,903.1007916038449,2738600
2024-09-27,883.4686279296875,891.3195050850468,871.876860355184,891.0900832898103,3459100
2024-09-30,884.366455078125,907.7893971831793,879.2688221891387,889.2046489391265,2142900
2024-10-01,875.2486572265625,884.8352978248349,870.6298996368276,883.0995344067621,1836700
2024-10-02,876.3959350585938,879.0893276040731,865.0534986466282,872.5253553471343,1317100
2024-10-03,873.5427856445312,879.0394103702031,870.5500733121702,872.3157930720674,1451900
2024-10-04,880.9647216796875,882.1418479000301,873.5427926008533,875.8571641294026,1516400
2024-10-07,871.4678955078125,885.5535902285375,870.2109465672196,879.4583864116447,1963200
2024-10-08,888.2570190429688,889.1448717121573,874.5703762092304,874.5703762092304,1697900
2024-10-09,906.8916015625,907.7894396487769,885.7131926905429,890.0725722715313,1956500
2024-10-10,891.4591674804688,907.7893960304166,889.6735377306335,907.7893960304166,1765800
2024-10-11,886.8704223632812,892.3271055662457,883.3489681150481,892.3271055662457,1527300
2024-10-14,887.5985717773438,892.9954028146306,884.1070741070461,890.2820395651337,1431500
2024-10-15,892.4368286132812,898.4621954143454,887.3891226319895,889.9229915163174,1613900
2024-10-16,885.2244262695312,889.1648433067493,877.3635630959126,887.7582343107542,1475500
2024-10-17,883.139404296875,893.1550537866965,880.6554628236066,889.3941925032167,1321500
2024-10-18,887.3990478515625,888.4464849781122,881.6031641386414,883.6082911194895,1654000
2024-10-21,884.6159057617188,889.2346635826647,881.5533560024875,886.8404692322305,1184900
2024-10-22,891.3195190429688,892.7161425094088,882.1618264599225,888.8156066079753,1189700
2024-10-23,896.9857177734375,903.4799134131007,892.8158791424386,893.8434062905255,2193500
2024-10-24,891.2496337890625,901.3051639000497,886.1021955591217,899.3100224193633,1649600
2024-10-25,889.0549926757812,899.4297530415948,887.8379855617287,893.4742847686454,1425800
2024-10-28,888.7957153320312,893.8134648707518,887.838025430264,893.8134648707518,912500
2024-10-29,884.8353271484375,889.0051658472661,871.9667001715295,887.8380250424498,1361700
2024-10-30,876.9545288085938,884.416338801973,875.2386753959737,884.2267979172107,1412200
2024-10-31,872.056396484375,875.5179986701096,866.5398618629107,875.0690796523724,1771900
