Price,Close,High,Low,Open,Volume
Ticker,VRTX,VRTX,VRTX,VRTX,VRTX
Datetime,,,,,
2025-01-16 14:30:00+00:00,419.07000732421875,424.5826110839844,416.8699951171875,424.5826110839844,132902
2025-01-16 15:30:00+00:00,419.7900085449219,421.0350036621094,418.2699890136719,419.25,116182
2025-01-16 16:30:00+00:00,420.2300109863281,420.5,419.239990234375,419.63751220703125,101726
2025-01-16 17:30:00+00:00,419.82501220703125,421.7699890136719,419.17999267578125,420.32000732421875,122166
2025-01-16 18:30:00+00:00,416.6199951171875,419.75,416.3800048828125,419.6000061035156,87701
2025-01-16 19:30:00+00:00,415.7099914550781,417.3500061035156,415.1499938964844,416.6199951171875,129102
2025-01-16 20:30:00+00:00,417.1400146484375,417.2799987792969,415.7077941894531,415.7077941894531,246845
2025-01-17 14:30:00+00:00,425.5050048828125,425.9100036621094,419.2699890136719,420.44000244140625,307604
2025-01-17 15:30:00+00:00,424.7850036621094,426.389892578125,423.57000732421875,425.4024963378906,223109
2025-01-17 16:30:00+00:00,426.3900146484375,426.3900146484375,424.6000061035156,425.05999755859375,111579
2025-01-17 17:30:00+00:00,427.8299865722656,428.0799865722656,426.1473083496094,426.19000244140625,107636
2025-01-17 18:30:00+00:00,427.44000244140625,428.25,426.80999755859375,427.8999938964844,94541
2025-01-17 19:30:00+00:00,425.4674987792969,427.6600036621094,425.1499938964844,427.2049865722656,151756
2025-01-17 20:30:00+00:00,421.989990234375,425.5899963378906,421.2925109863281,425.32000732421875,270719
2025-01-21 14:30:00+00:00,426.7550048828125,429.05999755859375,424.06500244140625,427.9599914550781,165706
2025-01-21 15:30:00+00:00,426.75,428.2099914550781,425.3999938964844,426.739990234375,143098
2025-01-21 16:30:00+00:00,429.32000732421875,429.5899963378906,425.7099914550781,426.69781494140625,191401
2025-01-21 17:30:00+00:00,429.69000244140625,430.5299987792969,429.18499755859375,429.44000244140625,160823
2025-01-21 18:30:00+00:00,427.8399963378906,429.8500061035156,427.5353088378906,429.5950012207031,122857
2025-01-21 19:30:00+00:00,429.1424865722656,429.3699951171875,427.3500061035156,427.5849914550781,117424
2025-01-21 20:30:00+00:00,428.04998779296875,429.1700134277344,427.42999267578125,429.135009765625,231935
2025-01-22 14:30:00+00:00,431.1099853515625,432.6000061035156,424.6499938964844,427.5,132097
2025-01-22 15:30:00+00:00,428.80999755859375,431.010009765625,428.04998779296875,431.010009765625,87350
2025-01-22 16:30:00+00:00,428.67999267578125,429.32000732421875,428.0,428.82000732421875,69287
2025-01-22 17:30:00+00:00,430.1549987792969,430.2300109863281,428.1000061035156,428.8299865722656,87935
2025-01-22 18:30:00+00:00,429.9200134277344,430.6499938964844,429.0400085449219,430.114990234375,80441
2025-01-22 19:30:00+00:00,427.89080810546875,430.2300109863281,427.2900085449219,429.8500061035156,111783
2025-01-22 20:30:00+00:00,428.1099853515625,428.1600036621094,426.010009765625,427.9049987792969,240320
2025-01-23 14:30:00+00:00,425.4849853515625,431.07000732421875,424.54998779296875,429.25,100464
2025-01-23 15:30:00+00:00,431.42999267578125,431.42999267578125,425.2300109863281,425.4953918457031,96617
2025-01-23 16:30:00+00:00,433.79998779296875,434.3900146484375,430.8988952636719,431.3800048828125,111020
2025-01-23 17:30:00+00:00,434.2099914550781,434.9800109863281,433.260009765625,433.6199951171875,95110
