Price,Close,High,Low,Open,Volume
Ticker,SPGI,SPGI,SPGI,SPGI,SPGI
Date,,,,,
2024-03-01,425.8133544921875,429.0490428621258,423.8083866052815,424.8108705487345,1484400
2024-03-04,422.2699279785156,426.30960852056006,420.7910400851637,425.1880236255282,2056800
2024-03-05,419.1632080078125,423.8778139833929,418.2500802339905,420.6520309474695,1456200
2024-03-06,422.9647216796875,423.71903810171534,419.2029535887726,421.1681806482097,1529800
2024-03-07,423.4907531738281,427.5204983395591,423.22274564796044,427.5204983395591,1189000
2024-03-08,425.03912353515625,427.3914590126997,423.68924160679256,424.55275409448006,1138700
2024-03-11,423.50067138671875,425.49570396346974,420.1359470498545,423.81829423986784,987300
2024-03-12,425.416259765625,427.5204883346572,422.9745985826352,426.1209911117953,1005600
2024-03-13,424.8406066894531,426.9646753859449,423.5006599247691,425.09867903692486,750100
2024-03-14,420.3146057128906,424.9101111115218,417.9225596740068,423.5403890378704,1296000
2024-03-15,419.6595458984375,421.3567958255253,415.53053935209937,416.9002615105222,2467000
2024-03-18,418.607421875,423.04411585668737,418.2203133356381,420.91014217072575,1023100
2024-03-19,420.8109130859375,420.9002388425078,417.60496957927234,419.2426993202836,1643900
2024-03-20,422.8554992675781,422.8852745154089,418.5875521975357,420.9895029630339,1333100
2024-03-21,425.35675048828125,428.18552045583243,422.8356984971551,424.1657101741749,1248400
2024-03-22,416.0069274902344,427.87780106185477,415.887826496668,426.1706161436473,1480300
2024-03-25,415.3617858886719,415.7190888770902,409.7240863198867,414.3295267718264,1342400
2024-03-26,416.3642578125,418.05160277264383,414.0714726652425,415.81836812608,1331800
2024-03-27,419.6595458984375,420.3245669065794,415.55040971335376,419.80842215692155,1252900
2024-03-28,422.27984619140625,423.97709594559745,419.2227793077574,421.35675290246985,1881600
2024-04-01,423.9076232910156,427.9473037948447,423.67932618412664,425.89272070339166,1682300
2024-04-02,422.9349365234375,424.01684132448594,419.53050155482134,423.40143565107473,1409100
2024-04-03,423.2823181152344,423.7686875847445,421.0590186781016,421.7637197871601,1027000
2024-04-04,425.22772216796875,434.1308851094145,424.03665162649946,425.92248807534077,1588300
2024-04-05,428.37408447265625,428.8901988857743,420.870418817156,425.13836605802413,1158000
2024-04-08,430.87530517578125,432.3939337778969,428.61229533270114,428.80088201047306,1049700
2024-04-09,431.7586975097656,435.0440313825448,429.0688989329676,434.1309035135326,739400
2024-04-10,420.8804016113281,427.10367168253714,420.1657652637579,425.5950084110825,954400
2024-04-11,419.7687072753906,422.8158087474735,418.8952595776563,421.0987188914198,1129200
2024-04-12,414.6968078613281,418.79603921376565,413.34695604512774,416.106240471947,1182200
2024-04-15,406.5082702636719,419.4908250881356,405.21796898367927,418.6868327205398,1054100
2024-04-16,405.51568603515625,410.42881411429175,404.71172402805144,406.20054704716136,1058800
