Price,Close,High,Low,Open,Volume
Ticker,ABNB,ABNB,ABNB,ABNB,ABNB
Datetime,,,,,
2025-02-24 14:30:00+00:00,146.44000244140625,147.0,146.32000732421875,147.0,76078
2025-02-24 14:31:00+00:00,146.53500366210938,146.5500030517578,146.10009765625,146.5500030517578,17318
2025-02-24 14:32:00+00:00,146.6699981689453,147.07000732421875,146.6699981689453,146.71499633789062,7088
2025-02-24 14:33:00+00:00,146.11000061035156,146.60000610351562,146.11000061035156,146.38999938964844,17674
2025-02-24 14:34:00+00:00,145.92999267578125,146.5,145.80999755859375,146.14999389648438,14920
2025-02-24 14:35:00+00:00,146.16000366210938,146.24000549316406,145.875,145.9600067138672,10396
2025-02-24 14:36:00+00:00,145.92999267578125,146.1199951171875,145.92999267578125,146.0500030517578,7007
2025-02-24 14:37:00+00:00,145.68499755859375,145.8699951171875,145.66000366210938,145.80999755859375,14827
2025-02-24 14:38:00+00:00,145.94679260253906,146.11000061035156,145.72500610351562,145.75,11238
2025-02-24 14:39:00+00:00,145.99000549316406,146.1300048828125,145.75999450683594,145.75999450683594,10481
2025-02-24 14:40:00+00:00,145.98500061035156,146.0800018310547,145.89500427246094,146.0,7040
2025-02-24 14:41:00+00:00,145.6999969482422,145.98500061035156,145.6999969482422,145.98500061035156,5681
2025-02-24 14:42:00+00:00,145.4199981689453,145.7624969482422,145.39999389648438,145.7449951171875,28381
2025-02-24 14:43:00+00:00,145.67999267578125,145.67999267578125,145.4550018310547,145.55999755859375,16105
2025-02-24 14:44:00+00:00,146.11000061035156,146.24000549316406,145.63999938964844,145.72999572753906,12514
2025-02-24 14:45:00+00:00,146.10499572753906,146.1999969482422,145.97999572753906,146.10000610351562,8352
2025-02-24 14:46:00+00:00,145.89500427246094,146.1999969482422,145.86000061035156,146.10499572753906,9278
2025-02-24 14:47:00+00:00,145.72999572753906,146.02999877929688,145.6649932861328,145.86000061035156,8601
2025-02-24 14:48:00+00:00,145.96499633789062,145.97000122070312,145.66000366210938,145.6649932861328,21943
2025-02-24 14:49:00+00:00,145.7949981689453,146.02000427246094,145.75999450683594,146.02000427246094,4543
2025-02-24 14:50:00+00:00,145.83999633789062,145.92999267578125,145.67999267578125,145.72000122070312,15771
2025-02-24 14:51:00+00:00,145.5,145.9600067138672,145.5,145.85000610351562,21059
2025-02-24 14:52:00+00:00,145.44500732421875,145.50999450683594,145.27000427246094,145.5050048828125,12588
