time,open,high,low,close,volume
2024-06-04T00:00:00Z,0,5319.942271384643,5236.487416115357,0.513541579246521,1
2024-06-05T00:00:00Z,1,5390.259439297253,5261.540853671497,0.6386990547180176,1
2024-06-06T00:00:00Z,0,5376.150034704129,5321.559926233371,0.5112937092781067,1
2024-06-07T00:00:00Z,0,5396.9989449083805,5309.4112113416195,0.5010026693344116,1
2024-06-10T00:00:00Z,0,5384.381041203247,5312.929017390503,0.5424858927726746,1
2024-06-11T00:00:00Z,0,5402.439634206647,5300.760561105853,0.5439288020133972,1
2024-06-12T00:00:00Z,1,5470.354292613571,5386.025590198929,0.6060918569564819,1
2024-06-13T00:00:00Z,0,5463.211331061553,5381.228610344697,0.539851188659668,1
2024-06-14T00:00:00Z,0,5446.971144996787,5389.168991721963,0.5091109871864319,1
2024-06-17T00:00:00Z,1,5529.187601994927,5379.712300348823,0.5974676012992859,1
2024-06-18T00:00:00Z,0,5500.707047869742,5460.992659161508,0.5418223142623901,1
2024-06-20T00:00:00Z,0,5529.775572427607,5431.314271322393,0.48520952463150024,1
2024-06-21T00:00:00Z,0,5491.344751321885,5438.995092428115,0.4959877133369446,1
2024-06-24T00:00:00Z,0,5511.299858421553,5426.950141578447,0.4792094826698303,1
2024-06-25T00:00:00Z,1,5487.552560564014,5431.887380842236,0.557476282119751,1
2024-06-26T00:00:00Z,0,5499.75111378057,5435.25914012568,0.5312109589576721,1
2024-06-27T00:00:00Z,0,5502.997616368579,5455.352481287671,0.523745059967041,1
2024-06-28T00:00:00Z,0,5557.5763370645,5417.18391684175,0.4679563045501709,1
2024-07-01T00:00:00Z,0,5497.497541560384,5428.582048283366,0.5435410737991333,1
2024-07-02T00:00:00Z,1,5539.5237125013955,5428.5964046861045,0.5820114612579346,1
2024-07-03T00:00:00Z,1,5557.426435412985,5489.263505993265,0.5700584053993225,1
2024-07-05T00:00:00Z,1,5592.544034098799,5509.415926838701,0.574001133441925,1
2024-07-08T00:00:00Z,0,5593.92437748416,5551.69525142209,0.5249739289283752,1
2024-07-09T00:00:00Z,0,5599.194053731946,5566.125770486804,0.5218765139579773,1
2024-07-10T00:00:00Z,1,5665.890179793176,5555.939898331824,0.6230831742286682,1
2024-07-11T00:00:00Z,-1,5670.02860668939,5548.95137377936,0.4183592200279236,1
2024-07-12T00:00:00Z,1,5692.987031244033,5553.012968755967,0.5747374892234802,1
2024-07-15T00:00:00Z,0,5695.3948301821365,5586.2951112241135,0.5452178716659546,1
2024-07-16T00:00:00Z,1,5687.571837693307,5621.118103712943,0.5840774178504944,1
2024-07-17T00:00:00Z,-1,5636.420730665937,5570.879562302813,0.36970359086990356,1
2024-07-18T00:00:00Z,-1,5653.104225836432,5483.755637444818,0.4280417561531067,1
2024-07-19T00:00:00Z,-1,5583.804908498889,5470.735130563611,0.43507981300354004,1
2024-07-22T00:00:00Z,1,5596.338915729342,5503.060986614408,0.6287309527397156,1
2024-07-23T00:00:00Z,0,5602.423185490363,5533.816560603387,0.49603283405303955,1
2024-07-24T00:00:00Z,-1,5534.759285663051,5393.260733868199,0.3034207224845886,1
2024-07-25T00:00:00Z,0,5537.521159148193,5345.018879914307,0.456393837928772,1
2024-07-26T00:00:00Z,1,5524.711284114572,5394.308735416678,0.6315809488296509,1
2024-07-29T00:00:00Z,0,5510.37279990426,5421.80737587699,0.5226885080337524,1
2024-07-30T00:00:00Z,0,5529.686794419191,5361.473361830809,0.4583744406700134,1
2024-07-31T00:00:00Z,1,5590.38183874567,5454.87792687933,0.6729956865310669,1
2024-08-01T00:00:00Z,-1,5624.054995926039,5352.525082198961,0.37173977494239807,1
2024-08-02T00:00:00Z,-1,5411.254264931253,5274.665656943747,0.3342781662940979,1
2024-08-05T00:00:00Z,-1,5286.545180953166,5083.604721390584,0.27087247371673584,1
2024-08-06T00:00:00Z,1,5386.518305312842,5119.381597030908,0.6245040893554688,1
2024-08-07T00:00:00Z,-1,5388.582886075339,5137.597289705911,0.4288875460624695,1
2024-08-08T00:00:00Z,1,5396.126452949829,5165.753429862671,0.7230504751205444,1
2024-08-09T00:00:00Z,1,5391.376696289168,5268.133069335832,0.5655668377876282,1
2024-08-12T00:00:00Z,0,5395.272058447823,5300.298254052177,0.5140256881713867,1
2024-08-13T00:00:00Z,1,5477.052506784006,5336.427473684744,0.6813254952430725,1
2024-08-14T00:00:00Z,1,5489.537198001257,5389.593173092493,0.5562661290168762,1
